   11,    3, 2010,   23,   35,   47, -35,027 -72,027  31,100   4,300   1,000    ,000   7,000
   11,    3, 2010,   23,   24,   48, -34,317 -71,996  11,300   4,100   1,000    ,000   7,000
   11,    3, 2010,   22,   46,   55, -34,417 -71,985   7,300   4,800   1,000    ,000   7,000
   11,    3, 2010,   22,   41,   27, -34,601 -71,941  10,600   4,100   1,000    ,000   7,000
   11,    3, 2010,   21,   51,   30, -34,351 -72,041  28,300   4,300   1,000    ,000   7,000
   11,    3, 2010,   20,   59,   11, -34,332 -71,969  36,700   4,400   1,000    ,000   7,000
   11,    3, 2010,   18,   50,    3, -34,416 -72,006   9,600   4,800   1,000    ,000   7,000
   11,    3, 2010,   18,   31,    6, -34,480 -71,821  15,000   4,500   1,000    ,000   7,000
   11,    3, 2010,   17,   48,   41, -34,434 -71,963   8,600   4,800   1,000    ,000   7,000
   11,    3, 2010,   17,   11,   20, -34,381 -71,979   8,000   5,800   1,000    ,000   7,000
   11,    3, 2010,   16,   28,    6, -34,346 -71,976  33,200   5,300   1,000    ,000   7,000
   11,    3, 2010,   16,    9,   16, -34,375 -72,006   9,900   4,700   1,000    ,000   7,000
   11,    3, 2010,   15,    2,   16, -34,436 -71,995   5,000   4,600   1,000    ,000   7,000
   11,    3, 2010,   14,   45,   59, -34,299 -72,021  15,000   4,000   1,000    ,000   7,000
   11,    3, 2010,   14,   18,   45, -34,355 -72,204   7,900   4,900   1,000    ,000   7,000
   11,    3, 2010,   13,   56,   30, -34,463 -72,052  30,400   5,400   1,000    ,000   7,000
   11,    3, 2010,   13,   23,   49, -34,403 -72,017  30,700   5,300   1,000    ,000   7,000
   11,    3, 2010,   12,   54,   35, -34,507 -72,124  12,700   5,100   1,000    ,000   7,000
   11,    3, 2010,   12,    5,   59, -34,508 -72,267  32,300   6,000   1,000    ,000   7,000
   11,    3, 2010,   11,   55,   24, -34,454 -72,199  33,000   6,400   1,000   6,700   3,000
   11,    3, 2010,   11,   39,   41, -34,301 -72,130  33,100   6,900   3,000    ,000   7,000
   11,    3, 2010,    9,   54,   48, -34,306 -71,996  33,900   4,000   1,000   4,000   6,000
   11,    3, 2010,    7,   51,   34, -34,331 -71,926   4,000   4,800   1,000    ,000   7,000
   11,    3, 2010,    2,   58,   30, -33,877 -71,456  41,100   3,100   1,000   3,600   6,000
   11,    3, 2010,    1,   51,   23, -33,097 -72,004  19,200   4,500   1,000    ,000   7,000
   11,    3, 2010,    1,    7,   51, -33,354 -72,451  35,800   3,200   1,000   3,400   6,000
