   día   mes año      hora min   seg   lat    long     prof   magnitud1 tipo1 magnitud2 tipo2
    5.    9. 2010.    8.   42.   54. -36.075 -72.652   2.900   3.900   1.000    .000   7.000
    5.    9. 2010.    6.   10.   33. -19.973 -70.381 102.400   4.000   1.000    .000   7.000
    5.    9. 2010.    4.   23.   48. -19.944 -70.838  19.200   3.900   1.000    .000   7.000
    5.    9. 2010.    2.   19.   49. -31.787 -70.867 111.200   3.300   1.000    .000   7.000
    4.    9. 2010.   22.   49.   12. -33.464 -71.899  13.500   3.200   1.000    .000   7.000
    4.    9. 2010.   17.   46.   56. -23.840 -67.662 225.300   4.200   1.000    .000   7.000
    4.    9. 2010.   15.   19.    2. -22.568 -69.179 112.500   4.100   1.000    .000   7.000
    4.    9. 2010.   10.   44.   19. -22.608 -68.769 106.500   3.700   1.000    .000   7.000
    4.    9. 2010.    8.    8.   13. -34.692 -72.063  25.100   3.100   1.000    .000   7.000
    4.    9. 2010.    5.   32.   18. -34.867 -71.537  65.500   3.400   1.000    .000   7.000
    3.    9. 2010.   23.   47.   43. -22.741 -67.467 220.800   4.800   1.000    .000   7.000
    3.    9. 2010.   21.    6.   34. -36.641 -73.402  44.400   4.800   1.000    .000   7.000
    3.    9. 2010.   21.    1.   29. -33.610 -71.996   6.300   3.600   1.000    .000   7.000
    3.    9. 2010.   19.   42.   41. -36.702 -73.154  39.600   4.700   1.000    .000   7.000
    3.    9. 2010.   19.   21.   39. -35.667 -73.292    .000   3.900   1.000    .000   7.000
    3.    9. 2010.   18.   45.    7. -24.020 -67.468 226.600   4.500   1.000    .000   7.000
    3.    9. 2010.   18.   22.   46. -36.631 -73.319  28.900   4.900   1.000    .000   7.000
    3.    9. 2010.   18.   12.   38. -31.516 -68.730 156.300   5.100   1.000    .000   7.000
    3.    9. 2010.   15.   38.   25. -34.497 -72.013  15.100   2.700   1.000    .000   7.000
    3.    9. 2010.   11.   16.   44. -30.692 -71.604  46.100   4.700   1.000    .000   7.000
    3.    9. 2010.   11.    8.   10. -21.658 -69.252  83.600   3.200   1.000    .000   7.000
    3.    9. 2010.   10.   56.   36. -35.119 -71.867  44.900   3.200   1.000    .000   7.000
    3.    9. 2010.    4.   18.   28. -20.942 -69.173 223.600   3.100   1.000    .000   7.000
    3.    9. 2010.    0.    8.   45. -36.292 -73.589  39.700   4.100   1.000    .000   7.000
    2.    9. 2010.   23.   49.   13. -36.882 -72.749  30.200   4.200   1.000    .000   7.000
    2.    9. 2010.   22.   17.   30. -31.667 -68.754 113.200   3.900   1.000    .000   7.000
    2.    9. 2010.   19.   35.    8. -34.756 -71.801  35.500   3.600   1.000    .000   7.000
    2.    9. 2010.   14.    6.    5. -34.779 -71.791  36.500   3.400   1.000    .000   7.000
    2.    9. 2010.   13.   56.    2. -34.084 -72.235  35.100   3.300   1.000    .000   7.000
    2.    9. 2010.   13.   32.   46. -23.340 -67.173 225.000   3.500   1.000    .000   7.000
    2.    9. 2010.    4.   55.   48. -34.787 -71.871  35.400   3.800   1.000    .000   7.000
    2.    9. 2010.    3.   26.   30. -34.841 -71.972  37.600   3.000   1.000    .000   7.000
    2.    9. 2010.    2.   48.    2. -35.353 -71.301  89.700   3.200   1.000    .000   7.000
    2.    9. 2010.    1.   59.    8. -35.161 -72.296  23.000   3.600   1.000    .000   7.000
    2.    9. 2010.    0.   27.   37. -20.664 -69.041  93.600   3.400   1.000    .000   7.000
    1.    9. 2010.   20.   29.   37. -34.673 -71.929  25.800   3.300   1.000    .000   7.000
    1.    9. 2010.   20.   28.   16. -20.560 -68.973 120.900   4.200   1.000    .000   7.000
    1.    9. 2010.   20.    9.   29. -33.801 -71.934   8.600   3.100   1.000    .000   7.000
    1.    9. 2010.   19.   46.   18. -33.930 -71.463  14.900   4.700   1.000    .000   7.000
    1.    9. 2010.   18.   25.   25. -33.975 -72.130  15.000   3.300   1.000    .000   7.000
    1.    9. 2010.   15.   29.   54. -33.853 -71.852  13.600   3.700   1.000    .000   7.000
    1.    9. 2010.   14.   45.   23. -34.171 -71.735  40.300   3.000   1.000    .000   7.000
    1.    9. 2010.   14.    3.   29. -34.852 -72.288  12.300   4.400   1.000    .000   7.000
    1.    9. 2010.   13.   24.   32. -22.830 -68.860  89.800   5.200   1.000    .000   7.000
    1.    9. 2010.   13.    8.   53. -36.830 -73.086  29.600   4.000   1.000    .000   7.000
    1.    9. 2010.    5.   42.   57. -36.052 -72.711  35.000   3.400   1.000    .000   7.000
    1.    9. 2010.    4.   52.    4. -34.792 -73.822  19.000   4.300   1.000    .000   7.000
    1.    9. 2010.    3.   53.   36. -33.314 -70.540 101.900   3.100   1.000    .000   7.000
    1.    9. 2010.    2.   22.    5. -33.926 -72.390   9.400   4.300   1.000    .000   7.000
    1.    9. 2010.    1.   20.   59. -20.397 -69.081 112.700   4.800   1.000    .000   7.000
   31.    8. 2010.   23.   15.   53. -35.029 -72.535   8.500   3.200   1.000    .000   7.000
   31.    8. 2010.   22.   56.   55. -34.947 -72.298  24.000   3.100   1.000    .000   7.000
   31.    8. 2010.   17.    4.   34. -34.867 -71.685  49.000   3.600   1.000    .000   7.000
   31.    8. 2010.   12.    6.   58. -20.101 -69.312 101.800   3.400   1.000    .000   7.000
   31.    8. 2010.   10.    5.   39. -26.598 -70.569  45.400   4.700   1.000    .000   7.000
   31.    8. 2010.    7.   33.    8. -34.770 -71.798  40.300   3.300   1.000    .000   7.000
   31.    8. 2010.    5.   41.   25. -35.737 -73.493  24.700   4.100   1.000    .000   7.000
   31.    8. 2010.    0.    3.    9. -35.635 -73.570  32.500   3.700   1.000    .000   7.000
   30.    8. 2010.   23.   53.   53. -34.748 -73.005  32.600   3.600   1.000    .000   7.000
   30.    8. 2010.   21.    3.   57. -21.451 -69.759  72.400   3.700   1.000    .000   7.000
   30.    8. 2010.   16.   52.   38. -21.905 -68.847 122.900   3.000   1.000    .000   7.000
   30.    8. 2010.   15.   41.   45. -20.574 -70.424  42.100   3.800   1.000    .000   7.000
   30.    8. 2010.   15.    4.   30. -21.188 -68.706 144.800   3.600   1.000    .000   7.000
   30.    8. 2010.    5.   55.    2. -32.570 -70.279 121.300   3.000   1.000    .000   7.000
   30.    8. 2010.    4.   34.   48. -35.252 -72.039  20.000   4.600   1.000    .000   7.000
   30.    8. 2010.    2.   40.   40. -34.825 -72.495  21.900   3.600   1.000    .000   7.000
   30.    8. 2010.    1.   29.   19. -34.795 -71.573  54.600   3.200   1.000    .000   7.000
   30.    8. 2010.    0.   29.   51. -20.566 -69.187 116.200   3.500   1.000    .000   7.000
   30.    8. 2010.    0.   15.   56. -20.369 -69.267 111.300   3.400   1.000    .000   7.000
   29.    8. 2010.   23.   39.   52. -35.692 -72.293  46.000   3.500   1.000    .000   7.000
   29.    8. 2010.   23.   29.   41. -22.410 -68.670 116.100   3.900   1.000    .000   7.000
   29.    8. 2010.   22.   58.   19. -34.738 -71.773  40.000   3.200   1.000    .000   7.000
   29.    8. 2010.   22.    2.   45. -30.684 -69.316 150.000   4.500   1.000    .000   7.000
   29.    8. 2010.   21.   15.   16. -34.099 -72.297   8.100   3.000   1.000    .000   7.000
   29.    8. 2010.   19.    3.   16. -31.878 -71.465  32.400   4.500   1.000    .000   7.000
   29.    8. 2010.   14.   18.   52. -21.965 -68.745 119.100   3.000   1.000    .000   7.000
   29.    8. 2010.   13.    4.    1. -34.276 -73.314  33.500   4.100   1.000    .000   7.000
   29.    8. 2010.    9.   23.   34. -34.460 -71.889  18.200   3.400   1.000    .000   7.000
   29.    8. 2010.    6.   10.   11. -21.309 -69.081 125.100   4.200   1.000    .000   7.000
   29.    8. 2010.    4.   50.   54. -37.684 -74.095  26.200   5.200   1.000    .000   7.000
   29.    8. 2010.    4.   50.   54. -37.684 -74.095  26.200   5.200   1.000    .000   7.000
   29.    8. 2010.    4.   28.    0. -36.254 -72.868  32.600   4.200   1.000    .000   7.000
   29.    8. 2010.    4.   17.   21. -21.558 -68.526 147.800   4.000   1.000    .000   7.000
   29.    8. 2010.    3.   44.    0. -38.125 -75.069  28.300   4.000   1.000    .000   7.000
   29.    8. 2010.    3.   36.   16. -33.840 -72.072  27.300   3.400   1.000    .000   7.000
   29.    8. 2010.    2.   40.   13. -24.038 -67.684 200.000   4.100   1.000    .000   7.000
   29.    8. 2010.    1.   44.   33. -23.285 -69.130  94.800   3.000   1.000    .000   7.000
   29.    8. 2010.    1.    6.   37. -21.268 -68.920 119.700   3.400   1.000    .000   7.000
   29.    8. 2010.    0.   43.   34. -32.529 -71.811  41.100   4.100   1.000    .000   7.000
   29.    8. 2010.    0.    8.    7. -22.303 -68.929 103.000   3.400   1.000    .000   7.000
   28.    8. 2010.   21.   50.   20. -33.889 -72.072   8.200   3.000   1.000    .000   7.000
   28.    8. 2010.   19.   23.   28. -34.399 -72.520  18.300   3.400   1.000    .000   7.000
   28.    8. 2010.   16.   48.   29. -35.307 -72.806  25.700   3.000   1.000    .000   7.000
   28.    8. 2010.   16.    3.   20. -34.556 -71.922  19.300   4.200   1.000    .000   7.000
   28.    8. 2010.   16.    2.   38. -34.541 -71.939  20.800   4.000   1.000    .000   7.000
   28.    8. 2010.   13.   26.    3. -35.994 -72.663  30.200   3.400   1.000    .000   7.000
   28.    8. 2010.    5.   18.   28. -21.537 -68.598  93.400   3.800   1.000    .000   7.000
   28.    8. 2010.    3.   56.   46. -21.165 -67.805 195.000   3.900   1.000    .000   7.000
   28.    8. 2010.    3.   54.   42. -35.223 -72.421  12.400   3.400   1.000    .000   7.000
   28.    8. 2010.    3.   33.   15. -34.788 -71.853  35.600   3.300   1.000    .000   7.000
   28.    8. 2010.    2.   21.   58. -34.909 -72.665  40.300   3.800   1.000    .000   7.000
   28.    8. 2010.    0.   48.    2. -34.785 -71.844  40.200   4.200   1.000    .000   7.000
   27.    8. 2010.   20.   47.   56. -34.802 -71.788  40.200   3.200   1.000    .000   7.000
   27.    8. 2010.   17.    2.   52. -19.509 -70.438  46.500   3.700   1.000    .000   7.000
   27.    8. 2010.   14.   56.   57. -33.324 -72.247  20.100   4.000   1.000    .000   7.000
   27.    8. 2010.   11.   52.   11. -20.738 -69.063 107.900   4.200   1.000    .000   7.000
   27.    8. 2010.   10.   14.   18. -21.068 -68.711 142.700   3.400   1.000    .000   7.000
   27.    8. 2010.    9.   17.   12. -35.611 -72.819    .000   3.200   1.000    .000   7.000
   27.    8. 2010.    4.   53.    8. -38.526 -73.311  37.900   3.900   1.000    .000   7.000
   27.    8. 2010.    2.   35.   51. -34.576 -71.996   9.400   3.500   1.000    .000   7.000
   27.    8. 2010.    1.   58.   34. -34.708 -70.856  98.700   3.700   1.000    .000   7.000
   27.    8. 2010.    1.    3.   14. -24.152 -67.428 200.000   3.800   1.000    .000   7.000
   26.    8. 2010.   16.   10.   25. -20.991 -67.800 217.400   3.600   1.000    .000   7.000
   26.    8. 2010.   10.   42.   22. -35.817 -73.437  24.000   4.000   1.000    .000   7.000
   26.    8. 2010.    8.   30.   52. -35.118 -71.875  46.200   3.200   1.000    .000   7.000
   26.    8. 2010.    6.    4.    1. -34.768 -71.790  39.700   3.100   1.000    .000   7.000
   26.    8. 2010.    5.    4.   15. -30.787 -69.123 140.000   3.700   1.000    .000   7.000
   26.    8. 2010.    4.   32.   39. -33.943 -68.831   8.800   3.500   1.000    .000   7.000
   26.    8. 2010.    3.   27.   41. -20.949 -68.540 137.100   3.300   1.000    .000   7.000
   26.    8. 2010.    0.   29.   14. -34.457 -72.019  11.900   3.200   1.000    .000   7.000
   25.    8. 2010.   23.   38.   30. -35.234 -72.112   7.300   3.600   1.000    .000   7.000
   25.    8. 2010.   21.   52.   12. -34.666 -73.189  34.600   4.700   1.000    .000   7.000
   25.    8. 2010.   21.   52.   12. -34.666 -73.189  34.600   4.700   1.000    .000   7.000
   25.    8. 2010.   19.   40.   22. -35.219 -72.171   8.800   4.200   1.000    .000   7.000
   25.    8. 2010.   18.   34.   56. -38.011 -73.082  15.000   4.800   1.000    .000   7.000
   25.    8. 2010.   18.    1.   39. -21.749 -68.643 112.900   3.200   1.000    .000   7.000
   25.    8. 2010.   15.   52.   56. -22.697 -69.288  78.300   3.700   1.000    .000   7.000
   25.    8. 2010.   12.   57.   50. -33.804 -71.677  39.000   3.800   1.000    .000   7.000
   25.    8. 2010.   12.   17.   28. -21.141 -68.953 117.900   3.500   1.000    .000   7.000
   25.    8. 2010.   11.   41.    9. -34.584 -72.150  24.500   3.300   1.000    .000   7.000
   25.    8. 2010.    9.   14.   36. -35.076 -72.275  34.200   4.600   1.000    .000   7.000
   25.    8. 2010.    8.    2.   37. -22.704 -69.184  76.900   5.200   1.000    .000   7.000
   25.    8. 2010.    7.   36.   36. -27.176 -70.973  35.100   4.100   1.000    .000   7.000
   25.    8. 2010.    6.   46.   40. -36.242 -73.601  34.000   4.200   1.000    .000   7.000
   25.    8. 2010.    5.   51.   47. -31.810 -68.540  11.600   4.200   1.000    .000   7.000
   25.    8. 2010.    3.   42.   13. -34.227 -71.775  37.800   2.800   1.000    .000   7.000
   25.    8. 2010.    1.    3.   45. -32.298 -71.850  14.900   3.900   1.000    .000   7.000
   24.    8. 2010.   22.   35.    2. -21.172 -68.913 122.500   5.200   1.000    .000   7.000
   24.    8. 2010.   22.   25.   21. -33.442 -72.243   8.400   3.000   1.000    .000   7.000
   24.    8. 2010.   20.   23.   18. -34.064 -72.126  10.300   3.400   1.000    .000   7.000
   24.    8. 2010.   20.   18.   55. -22.077 -68.745 127.400   3.400   1.000    .000   7.000
   24.    8. 2010.   12.   17.    4. -34.183 -73.316  22.300   3.700   1.000    .000   7.000
   24.    8. 2010.   10.   58.   25. -34.901 -72.436  20.000   3.400   1.000    .000   7.000
   24.    8. 2010.    9.   47.   48. -18.209 -71.116  33.900   4.500   1.000    .000   7.000
   24.    8. 2010.    8.   17.   24. -34.461 -72.547  29.300   3.700   1.000    .000   7.000
   24.    8. 2010.    6.   13.   14. -34.371 -73.379  31.700   3.500   1.000    .000   7.000
   24.    8. 2010.    2.   49.   47. -37.119 -72.839  40.400   3.200   1.000    .000   7.000
   23.    8. 2010.   22.   12.   58. -32.516 -69.821 135.300   4.000   1.000    .000   7.000
   23.    8. 2010.   17.   45.   48. -31.183 -68.848 139.700   4.100   1.000    .000   7.000
   23.    8. 2010.   16.   22.   17. -34.760 -71.796  40.600   3.500   1.000    .000   7.000
   23.    8. 2010.   15.   49.   18. -34.375 -72.029  14.900   2.900   1.000    .000   7.000
   23.    8. 2010.   13.   11.   33. -34.382 -71.948  14.500   2.900   1.000    .000   7.000
   23.    8. 2010.    9.   59.   50. -34.736 -71.830  41.600   4.100   1.000    .000   7.000
   23.    8. 2010.    9.   29.   30. -20.093 -69.326  97.900   3.200   1.000    .000   7.000
   23.    8. 2010.    9.    7.   19. -32.053 -71.501  40.000   3.200   1.000    .000   7.000
   23.    8. 2010.    9.    2.    4. -34.052 -71.851  17.700   3.300   1.000    .000   7.000
   23.    8. 2010.    7.   29.   52. -21.625 -68.871 148.500   3.500   1.000    .000   7.000
   23.    8. 2010.    2.   41.   46. -23.053 -67.119 207.900   4.200   1.000    .000   7.000
   23.    8. 2010.    0.   50.   52. -34.816 -71.811  41.600   3.900   1.000    .000   7.000
   23.    8. 2010.    0.   20.   37. -32.343 -71.893  14.300   3.400   1.000    .000   7.000
   22.    8. 2010.   20.   47.   37. -20.964 -69.014 120.600   4.000   1.000    .000   7.000
   22.    8. 2010.   19.   56.   23. -33.384 -71.701  14.400   3.000   1.000    .000   7.000
   22.    8. 2010.   19.   51.   48. -32.369 -71.835  14.800   3.300   1.000    .000   7.000
   22.    8. 2010.   17.   55.   26. -34.282 -72.246  18.300   3.700   1.000    .000   7.000
   22.    8. 2010.   16.   26.   44. -31.572 -69.930 155.000   3.900   1.000    .000   7.000
   22.    8. 2010.   16.   13.   24. -21.516 -68.499 141.500   3.100   1.000    .000   7.000
   22.    8. 2010.   16.    3.   56. -35.891 -73.689  20.500   4.400   1.000    .000   7.000
   22.    8. 2010.   15.    5.   19. -34.650 -71.989   9.400   3.500   1.000    .000   7.000
   22.    8. 2010.   14.   39.   12. -34.005 -72.323   6.300   3.000   1.000    .000   7.000
   22.    8. 2010.   12.   11.   28. -33.686 -72.127  15.000   3.000   1.000    .000   7.000
   22.    8. 2010.    8.    5.   10. -22.150 -70.079  45.300   3.500   1.000    .000   7.000
   22.    8. 2010.    7.   43.   10. -21.260 -68.978 123.600   3.900   1.000    .000   7.000
   22.    8. 2010.    4.    6.   35. -21.195 -67.766 203.900   4.900   1.000    .000   7.000
   22.    8. 2010.    1.   29.   22. -33.953 -71.221  49.300   3.300   1.000    .000   7.000
   21.    8. 2010.   23.   49.   58. -36.533 -73.720  19.100   5.400   1.000    .000   7.000
   21.    8. 2010.   23.   11.   57. -39.075 -73.258  28.200   4.000   1.000    .000   7.000
   21.    8. 2010.   21.   25.   41. -34.757 -71.717  46.600   4.700   1.000    .000   7.000
   21.    8. 2010.   20.   42.   55. -22.270 -67.948 195.100   3.600   1.000    .000   7.000
   21.    8. 2010.   18.   20.   43. -20.903 -69.310  86.800   3.000   1.000    .000   7.000
   21.    8. 2010.   16.   17.   28. -17.472 -71.655  10.200   4.400   1.000    .000   7.000
   21.    8. 2010.   14.   21.   50. -24.114 -67.546 230.000   4.300   1.000    .000   7.000
   21.    8. 2010.   13.   36.   34. -34.774 -71.814  42.500   3.200   1.000    .000   7.000
   21.    8. 2010.   10.    6.   46. -33.925 -72.116  12.700   3.700   1.000    .000   7.000
   21.    8. 2010.    9.   18.    1. -34.915 -72.296  25.600   3.500   1.000    .000   7.000
   21.    8. 2010.    6.   40.   17. -34.346 -72.337  20.700   3.100   1.000    .000   7.000
   21.    8. 2010.    5.    9.   18. -34.596 -71.868  10.000   3.000   1.000    .000   7.000
   21.    8. 2010.    2.   27.   47. -21.435 -69.015 101.700   3.000   1.000    .000   7.000
   21.    8. 2010.    1.   32.   15. -35.201 -72.056  42.800   4.300   1.000    .000   7.000
   20.    8. 2010.   22.   11.   19. -34.319 -72.047  24.900   2.800   1.000    .000   7.000
   20.    8. 2010.   20.   57.   50. -34.654 -71.888  10.800   3.100   1.000    .000   7.000
   20.    8. 2010.   19.   47.   37. -34.746 -71.770  41.000   3.700   1.000    .000   7.000
   20.    8. 2010.   17.   25.   42. -20.313 -69.110 114.500   3.600   1.000    .000   7.000
   20.    8. 2010.   17.   14.   20. -35.258 -72.461  28.500   3.900   1.000    .000   7.000
   20.    8. 2010.   16.   47.    7. -34.056 -73.203  20.100   3.800   1.000    .000   7.000
   20.    8. 2010.   15.   51.   39. -34.885 -71.797  36.400   4.100   1.000    .000   7.000
   20.    8. 2010.   15.   51.   37. -34.773 -72.034  13.000   4.000   7.000    .000   7.000
   20.    8. 2010.   14.   42.   19. -32.839 -71.935  10.300   3.200   1.000    .000   7.000
   20.    8. 2010.   13.   26.   28. -36.808 -73.071  31.000   4.500   1.000    .000   7.000
   20.    8. 2010.   12.   57.   14. -34.719 -72.047   6.600   3.000   1.000    .000   7.000
   20.    8. 2010.   10.   40.   48. -34.768 -71.776  39.100   3.200   1.000    .000   7.000
   20.    8. 2010.    7.   37.   11. -22.997 -69.213 107.500   3.500   1.000    .000   7.000
   20.    8. 2010.    7.   24.   55. -35.181 -72.835  30.100   3.400   1.000    .000   7.000
   20.    8. 2010.    4.   19.   50. -34.698 -71.792  40.900   3.800   1.000    .000   7.000
   20.    8. 2010.    1.   38.   32. -34.638 -73.484  43.500   3.400   1.000    .000   7.000
   20.    8. 2010.    0.   37.   37. -33.659 -71.223  45.000   2.900   1.000    .000   7.000
   19.    8. 2010.   19.   24.    2. -35.909 -73.551  39.000   4.000   1.000    .000   7.000
   19.    8. 2010.   19.    4.   15. -32.657 -71.635  12.000   4.000   1.000    .000   7.000
   19.    8. 2010.   14.    8.    3. -32.579 -71.749  10.800   3.600   1.000    .000   7.000
   19.    8. 2010.   13.   58.   32. -34.495 -71.962  19.500   3.800   1.000    .000   7.000
   19.    8. 2010.   11.   44.   42. -33.436 -72.310  28.300   4.100   1.000    .000   7.000
   19.    8. 2010.    8.   21.   12. -35.102 -71.151 100.000   3.300   1.000    .000   7.000
   19.    8. 2010.    7.   19.   15. -34.716 -71.677  38.100   3.400   1.000    .000   7.000
   19.    8. 2010.    6.   42.   32. -34.353 -72.070  25.900   3.500   1.000    .000   7.000
   19.    8. 2010.    4.   33.   41. -34.715 -72.513   8.600   3.000   1.000    .000   7.000
   19.    8. 2010.    0.   27.   14. -21.096 -69.016 116.000   4.500   1.000    .000   7.000
   18.    8. 2010.   23.   59.   31. -34.385 -71.897  28.300   3.400   1.000    .000   7.000
   18.    8. 2010.   23.    5.    4. -34.714 -71.808  39.700   3.100   1.000    .000   7.000
   18.    8. 2010.   22.   45.    9. -36.716 -73.380  23.300   4.500   1.000    .000   7.000
   18.    8. 2010.   19.   59.   57. -32.874 -71.817  24.500   3.500   1.000    .000   7.000
   18.    8. 2010.   18.   33.   53. -34.740 -71.749  43.200   3.600   1.000    .000   7.000
   18.    8. 2010.   15.   40.   24. -19.397 -70.151  40.900   3.300   1.000    .000   7.000
   18.    8. 2010.   14.   17.   16. -36.934 -72.957  32.900   3.900   1.000    .000   7.000
   18.    8. 2010.   13.   43.   44. -34.902 -72.558  29.700   3.200   1.000    .000   7.000
   18.    8. 2010.   13.   27.   33. -34.866 -72.351  24.000   3.100   1.000    .000   7.000
   18.    8. 2010.   12.   12.   54. -34.773 -71.779  42.900   3.000   1.000    .000   7.000
   18.    8. 2010.    8.   57.   15. -34.725 -71.759  42.500   4.000   1.000    .000   7.000
   18.    8. 2010.    8.   38.   58. -33.671 -71.909  36.900   3.000   1.000    .000   7.000
   18.    8. 2010.    7.   35.    9. -36.940 -73.517   8.100   3.800   1.000    .000   7.000
   18.    8. 2010.    7.   25.   51. -36.484 -73.199   6.600   3.500   1.000    .000   7.000
   18.    8. 2010.    2.   24.   59. -37.138 -74.032  27.100   4.900   1.000    .000   7.000
   18.    8. 2010.    2.    7.   54. -34.574 -71.774  13.100   3.100   1.000    .000   7.000
   18.    8. 2010.    0.    9.   58. -21.015 -68.995 108.100   3.200   1.000    .000   7.000
   17.    8. 2010.   23.   43.    3. -34.470 -71.932  13.000   2.600   1.000    .000   7.000
   17.    8. 2010.   22.   44.   45. -29.799 -71.551  43.400   3.100   1.000    .000   7.000
   17.    8. 2010.   22.    8.   22. -21.632 -68.713 135.100   3.500   1.000    .000   7.000
   17.    8. 2010.   18.   11.   15. -35.339 -72.268  15.100   3.200   1.000    .000   7.000
   17.    8. 2010.   17.   36.   25. -34.304 -72.058  23.500   3.900   1.000    .000   7.000
   17.    8. 2010.   16.   41.   16. -33.804 -71.962   7.000   3.400   1.000    .000   7.000
   17.    8. 2010.   15.   30.   23. -34.706 -71.818  40.700   3.400   1.000    .000   7.000
