   día   mes año      hora min   seg   lat    long     prof   magnitud1 tipo1 magnitud2 tipo2
    5,    9, 2010,    4.0   23.0   48.0 -19,944 -70,838  19,200   3,900   1,000    ,000   7,000
    5,    9, 2010,    2.0   19.0   49.0 -31,787 -70,867 111,200   3,300   1,000    ,000   7,000
    4,    9, 2010,   22.0   49.0   12.0 -33,464 -71,899  13,500   3,200   1,000    ,000   7,000
    4,    9, 2010,   17.0   46.0   56.0 -23,840 -67,662 225,300   4,200   1,000    ,000   7,000
    4,    9, 2010,   15.0   19.0    2.0 -22,568 -69,179 112,500   4,100   1,000    ,000   7,000
    4,    9, 2010,   10.0   44.0   19.0 -22,608 -68,769 106,500   3,700   1,000    ,000   7,000
    4,    9, 2010,    8.0    8.0   13.0 -34,692 -72,063  25,100   3,100   1,000    ,000   7,000
    4,    9, 2010,    5.0   32.0   18.0 -34,867 -71,537  65,500   3,400   1,000    ,000   7,000
    3,    9, 2010,   23.0   47.0   43.0 -22,741 -67,467 220,800   4,800   1,000    ,000   7,000
    3,    9, 2010,   21.0    6.0   34.0 -36,641 -73,402  44,400   4,800   1,000    ,000   7,000
    3,    9, 2010,   21.0    1.0   29.0 -33,610 -71,996   6,300   3,600   1,000    ,000   7,000
    3,    9, 2010,   19.0   42.0   41.0 -36,702 -73,154  39,600   4,700   1,000    ,000   7,000
    3,    9, 2010,   19.0   21.0   39.0 -35,667 -73,292    ,000   3,900   1,000    ,000   7,000
    3,    9, 2010,   18.0   45.0    7.0 -24,020 -67,468 226,600   4,500   1,000    ,000   7,000
    3,    9, 2010,   18.0   22.0   46.0 -36,631 -73,319  28,900   4,900   1,000    ,000   7,000
    3,    9, 2010,   18.0   12.0   38.0 -31,516 -68,730 156,300   5,100   1,000    ,000   7,000
    3,    9, 2010,   15.0   38.0   25.0 -34,497 -72,013  15,100   2,700   1,000    ,000   7,000
    3,    9, 2010,   11.0   16.0   44.0 -30,692 -71,604  46,100   4,700   1,000    ,000   7,000
    3,    9, 2010,   11.0    8.0   10.0 -21,658 -69,252  83,600   3,200   1,000    ,000   7,000
    3,    9, 2010,   10.0   56.0   36.0 -35,119 -71,867  44,900   3,200   1,000    ,000   7,000
    3,    9, 2010,    4.0   18.0   28.0 -20,942 -69,173 223,600   3,100   1,000    ,000   7,000
    3,    9, 2010,    0.0    8.0   45.0 -36,292 -73,589  39,700   4,100   1,000    ,000   7,000
    2,    9, 2010,   23.0   49.0   13.0 -36,882 -72,749  30,200   4,200   1,000    ,000   7,000
    2,    9, 2010,   22.0   17.0   30.0 -31,667 -68,754 113,200   3,900   1,000    ,000   7,000
    2,    9, 2010,   19.0   35.0    8.0 -34,756 -71,801  35,500   3,600   1,000    ,000   7,000
    2,    9, 2010,   14.0    6.0    5.0 -34,779 -71,791  36,500   3,400   1,000    ,000   7,000
    2,    9, 2010,   13.0   56.0    2.0 -34,084 -72,235  35,100   3,300   1,000    ,000   7,000
    2,    9, 2010,   13.0   32.0   46.0 -23,340 -67,173 225,000   3,500   1,000    ,000   7,000
    2,    9, 2010,    4.0   55.0   48.0 -34,787 -71,871  35,400   3,800   1,000    ,000   7,000
    2,    9, 2010,    3.0   26.0   30.0 -34,841 -71,972  37,600   3,000   1,000    ,000   7,000
    2,    9, 2010,    2.0   48.0    2.0 -35,353 -71,301  89,700   3,200   1,000    ,000   7,000
    2,    9, 2010,    1.0   59.0    8.0 -35,161 -72,296  23,000   3,600   1,000    ,000   7,000
    2,    9, 2010,    0.0   27.0   37.0 -20,664 -69,041  93,600   3,400   1,000    ,000   7,000
